instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Alamance Community College,Alamance Community College,1247 Jimmie Kerr Road,Graham,-79.357657,36.066683,45,,,,,,,,,,14,
Alamo City Barber College,Alamo City Barber College,8910 Bandera Road Suite 209,San Antonio,-98.639532,29.527170,72,11851,,,,,,,,,25,
Alamo Community College District Central Office,Alamo Community College District Central Office,201 W. Sheridan,San Antonio,-98.498020,29.416172,,,,,,,,,,,,
Alaska Bible College,Alaska Bible College,248 E Elmwood Ave,Palmer,-149.111972,61.598553,87,19746,,,,,,,,,6,
Alaska Career College,Alaska Career College,1415 E Tudor Road,Anchorage,-149.856954,61.181443,86,16603,,,,,,,,,15,
Alaska Christian College,Alaska Christian College,35109 Royal Place,Soldotna,-151.136005,60.490459,97,6962,,,,,,,,,10,
Alaska Pacific University,Alaska Pacific University,4101 University Dr,Anchorage,-149.804168,61.190968,79,18932,419,353,,,,,,,7,
Albany BOCES-Adult Practical Nursing Program,Albany BOCES-Adult Practical Nursing Program,900  Watervliet Shaker Rd,Albany,-73.835752,42.745685,83,,,,,,,,,,35,
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,-73.779063,42.650371,96,29802,1985,1427,550,640,580,670,24,28,9,
Albany Law School,Albany Law School,80 New Scotland Avenue,Albany,-73.777495,42.651818,,,,,,,,,,,,
Albany Medical College,Albany Medical College,47 New Scotland Ave,Albany,-73.777289,42.653820,,,,,,,,,,,,
Albany State University,Albany State University,504 College Drive,Albany,-84.141825,31.569280,66,,4093,3704,380,460,370,440,15,18,18,
Albany Technical College,Albany Technical College,1704 South Slappey Boulevard,Albany,-84.174284,31.554340,87,,,,,,,,,,15,
Albertus Magnus College,Albertus Magnus College,700 Prospect St,New Haven,-72.923848,41.332519,78,24652,1388,806,410,540,400,510,15,20,13,
Albion College,Albion College,611 E Porter St,Albion,-84.745639,42.245049,99,17663,4226,2884,510,630,500,610,20,26,11,
Albright College,Albright College,1621 N. 13th St.,Reading,-75.909742,40.361351,92,23785,6755,4188,,,,,,,15,
Alcorn State University,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,-91.142854,31.877216,89,,4314,3853,420,550,400,590,17,22,18,
Alderson Broaddus University,Alderson Broaddus University,101 College Hill Drive,Philippi,-80.047728,39.158067,98,19742,3988,1696,460,550,460,550,18,22,14,
Alexander Academy,Alexander Academy,55 Massachusetts Avenue,Lunenburg,-71.769406,42.587705,44,24620,,,,,,,,,6,
Alexander Paul Institute of Hair Design,Alexander Paul Institute of Hair Design,1011 Charles Blvd Ste A,Greenville,-77.371696,35.604962,39,7571,,,,,,,,,9,
Alexandria School of Scientific Therapeutics,Alexandria School of Scientific Therapeutics,809 S Harrison St,Alexandria,-85.674016,40.255608,63,13545,,,,,,,,,23,
Alexandria Technical & Community College,Alexandria Technical & Community College,1601 Jefferson Streeet,Alexandria,-95.372369,45.873107,46,,,,,,,,,,22,
Alfred University,Alfred University,One Saxon Drive,Alfred,-77.788106,42.254476,91,20892,4296,2693,480,590,490,610,20,27,11,
Alhambra Beauty College,Alhambra Beauty College,200 W Main St,Alhambra,-118.129041,34.093916,67,9216,,,,,,,,,20,
Alhambra Medical University,Alhambra Medical University,2215 W. Mission Road,Alhambra,-118.148684,34.080181,40,,,,,,,,,,13,
Alice Lloyd College,Alice Lloyd College,100 Purpose Rd,Pippa Passes,-82.875068,37.335087,98,15120,4720,1311,440,590,430,440,18,23,17,
All Beauty College,All Beauty College,2060 W. Acoma Boulevard,Lake Havasu City,-114.338235,34.496060,45,12969,,,,,,,,,16,
All Beauty College,All Beauty College,1385 East Gemini St,Fort Mohave,-114.600955,35.021355,100,12514,,,,,,,,,8,
All Beauty College,All Beauty College,2153 East Gordon Drive,Kingman,-114.027481,35.239812,69,13262,,,,,,,,,15,
All-State Career School-Allied Health Campus,All-State Career School-Allied Health Campus,50 W Powhattan Ave,Essington,-75.302151,39.866163,87,18045,,,,,,,,,24,
All-State Career School-Lester,All-State Career School-Lester,501 Seminole Street,Lester,-75.279546,39.869902,72,14919,,,,,,,,,20,
All-State Career School-Pittsburgh,All-State Career School-Pittsburgh,1200 Lebanon Road,West Mifflin,-79.937130,40.358492,53,14081,,,,,,,,,15,
All-State Career-Baltimore,All-State Career-Baltimore,2200 Broening Hwy Ste 160,Baltimore,-76.544942,39.264664,66,14080,,,,,,,,,24,
