instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Big Sandy Community and Technical College,Big Sandy Community and Technical College,1 Bert Combs Dr,Prestonsburg,-82.778847,37.688248,89,,,,,,,,,,21,
Binghamton University,Binghamton University,4400 Vestal Parkway East,Vestal,-75.966889,42.087868,53,,38755,15429,650,710,660,730,28,32,19,
Biola University,Biola University,13800 Biola Ave,La Mirada,-118.014374,33.906203,99,32729,3792,2786,540,640,520,620,21,27,14,
Birmingham Southern College,Birmingham Southern College,900 Arkadelphia Road,Birmingham,-86.850552,33.513774,99,26863,3636,2060,520,620,520,600,23,29,12,
Birthingway College of Midwifery,Birthingway College of Midwifery,12113 SE Foster Rd,Portland,-122.538471,45.476809,71,,,,,,,,,,4,
Birthwise Midwifery School,Birthwise Midwifery School,24 South High Street,Bridgton,-70.713985,44.052323,71,24194,10,4,,,,,,,6,
Bishop State Community College,Bishop State Community College,351 North Broad Street,Mobile,-88.056982,30.693972,81,,,,,,,,,,19,
Bismarck State College,Bismarck State College,1500 Edwards Ave.,Bismarck,-100.816534,46.821459,39,,,,,,,,,,14,
Bitterroot School of Cosmetology,Bitterroot School of Cosmetology,2079 N First St Ste B,Hamilton,-114.159449,46.273475,73,9762,,,,,,,,,13,
BJ's Beauty & Barber College,BJ's Beauty & Barber College,435 E Main St,Auburn,-122.223312,47.308073,,,,,,,,,,,,
BJ's Beauty & Barber College,BJ's Beauty & Barber College,5239 S Tacoma Way,Tacoma,-122.483385,47.208428,48,8471,,,,,,,,,8,
Black Hawk College,Black Hawk College,6600-34th Avenue,Moline,-90.447799,41.477283,38,,,,,,,,,,18,
Black Hills Beauty College,Black Hills Beauty College,623 Saint Joe,Rapid City,-103.228651,44.079979,47,8088,,,,,,,,,13,
Black Hills State University,Black Hills State University,1200 University St,Spearfish,-103.870966,44.494889,46,,1858,1641,490,600,468,580,18,24,18,
Black River Technical College,Black River Technical College,1410 Hwy 304 East,Pocahontas,-90.951033,36.239793,69,,,,,,,,,,15,
Blackburn College,Blackburn College,700 College Ave,Carlinville,-89.870241,39.287896,98,16174,869,448,480,570,480,570,18,22,11,
Blackfeet Community College,Blackfeet Community College,504 S.E. East Boundary,Browning,-113.009387,48.551927,98,8875,,,,,,,,,9,
Blackhawk Technical College,Blackhawk Technical College,6004 South County Road G,Janesville,-89.016254,42.593159,62,,,,,,,,,,9,
Blackstone Valley Vocational Regional School District,Blackstone Valley Vocational Regional School District,65 Pleasant St,Upton,-71.616243,42.163820,40,,,,,,,,,,10,
Bladen Community College,Bladen Community College,7418 NC Hwy 41 West,Dublin,-78.731119,34.644691,57,,,,,,,,,,8,
Blades School of Hair Design,Blades School of Hair Design,22576-316 MacArthur Blvd,California,-76.483760,38.286299,100,14287,,,,,,,,,15,
Blake Austin College,Blake Austin College,611 Orange Dr Ste K,Vacaville,-121.945606,38.378548,67,24175,,,,,,,,,20,
Blalock's Professional Beauty College,Blalock's Professional Beauty College,8101 Kingston Rd Ste 103,Shreveport,-93.784250,32.426006,89,11143,,,,,,,,,6,
Blessing Hospital School of Medical Laboratory Technology,Blessing Hospital School of Medical Laboratory Technology,Broadway at 11th St,Quincy,-91.399045,39.936549,29,,,,,,,,,,4,
Blessing Hospital School of Radiologic Technology,Blessing Hospital School of Radiologic Technology,Broadway at 14th,Quincy,-91.391542,39.935084,78,,,,,,,,,,4,
Blessing Rieman College of Nursing and Health Sciences,Blessing Rieman College of Nursing and Health Sciences,Broadway at 11th Street,Quincy,-91.399045,39.936549,100,,,,,,,,,,10,
Blinn College,Blinn College,902 College Ave,Brenham,-96.408520,30.160457,32,,,,,,,,,,26,
Bloomfield College,Bloomfield College,467 Franklin St,Bloomfield,-74.194309,40.795105,94,21989,3786,2295,430,530,430,530,16,19,14,
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,400 E Second St,Bloomsburg,-76.447844,41.007820,56,,8748,6717,500,580,490,570,19,24,19,
Blue Cliff Career College,Blue Cliff Career College,2970 Cottage Hill Rd.  Suite 175,Mobile,-88.114952,30.670281,91,10842,40,36,,,,,,,17,
Blue Cliff College-Alexandria,Blue Cliff College-Alexandria,1505 Metro Dr Ste 1,Alexandria,-92.475371,31.276699,87,19772,,,,,,,,,19,
Blue Cliff College-Fayetteville,Blue Cliff College-Fayetteville,3448 N. College,Fayetteville,-94.144491,36.113930,78,18680,,,,,,,,,22,
Blue Cliff College-Gulfport,Blue Cliff College-Gulfport,12251 Bernard Pkwy,Gulfport,-89.039348,30.442482,81,20070,,,,,,,,,20,
Blue Cliff College-Houma,Blue Cliff College-Houma,803 Barrow St,Houma,-90.718451,29.591570,82,20200,,,,,,,,,18,
Blue Cliff College-Lafayette,Blue Cliff College-Lafayette,120 James Comeaux Rd.,Lafayette,-92.011131,30.188110,80,18396,,,,,,,,,20,
Blue Cliff College-Metairie,Blue Cliff College-Metairie,3200 Cleary Ave,Metairie,-90.172771,30.002779,85,18668,,,,,,,,,23,
Blue Cliff College-Shreveport,Blue Cliff College-Shreveport,8731 Park Plaza Drive,Shreveport,-93.724973,32.424263,63,24543,,,,,,,,,,
Blue Hills Regional Technical School,Blue Hills Regional Technical School,800 Randolph St,Canton,-71.104081,42.182210,56,,3,1,,,,,,,10,
Blue Mountain College,Blue Mountain College,201 W Main St,Blue Mountain,-89.029240,34.672090,95,12499,283,263,420,490,470,540,19,25,14,
Blue Mountain Community College,Blue Mountain Community College,2411 NW Carden Ave,Pendleton,-118.816944,45.677313,62,,,,,,,,,,18,
Blue Ridge Community and Technical College,Blue Ridge Community and Technical College,13650 Apple Harvest Drive,Martinsburg,-78.001918,39.435290,23,,,,,,,,,,25,
Blue Ridge Community College,Blue Ridge Community College,1 College Lane,Weyers Cave,-78.937471,38.279075,44,,,,,,,,,,20,
Blue Ridge Community College,Blue Ridge Community College,180 West Campus Drive,Flat Rock,-82.425544,35.308040,40,,,,,,,,,,11,
Bluefield College,Bluefield College,3000 College Avenue,Bluefield,-81.246233,37.244557,89,21574,1143,1090,450,533,448,530,16,20,14,
Bluefield College - Edward Via College of Osteopathic Medicine,Bluefield College - Edward Via College of Osteopathic Medicine,2265 Kraft Drive,Blacksburg,-80.406089,37.199747,,,,,,,,,,,,
Bluefield State College,Bluefield State College,219 Rock St,Bluefield,-81.239037,37.265732,78,,604,571,460,550,460,570,17,21,12,
Bluegrass Community and Technical College,Bluegrass Community and Technical College,470 Cooper Drive,Lexington,-84.503665,38.024808,73,,,,,,,,,,19,
Bluffton University,Bluffton University,1 University Drive,Bluffton,-83.899439,40.895606,97,26294,2175,914,430,550,440,550,18,25,11,
Blush School of Makeup,Blush School of Makeup,One Embarcadero Center  Ste R-1206,San Francisco,-122.399413,37.794885,3,20134,,,,,,,,,5,
Bnos Zion Of Bobov Seminary,Bnos Zion Of Bobov Seminary,5000 14th Avenue,Brooklyn,-73.991157,40.633353,91,7070,109,98,,,,,,,19,
Board of Trustees-Mississippi State Institutions of Higher Learning,Board of Trustees-Mississippi State Institutions of Higher Learning,3825 Ridgewood Rd,Jackson,-90.144689,32.338859,,,,,,,,,,,,
Bob Jones University,Bob Jones University,1700 Wade Hampton Boulavard,Greenville,-82.365838,34.874016,83,13664,,,,,,,,,12,
Boca Beauty Academy,Boca Beauty Academy,7820 Glades Road,Boca Raton,-80.167216,26.366888,65,13444,,,,,,,,,16,
Boca Beauty Academy-Parkland,Boca Beauty Academy-Parkland,7271 North State Road 7,Parkland,-80.203872,26.321755,61,16057,,,,,,,,,16,
Boise Barber College,Boise Barber College,7709 W. Overland Rd. 100,Boise,-116.278054,43.588823,50,12429,,,,,,,,,20,
Boise Bible College,Boise Bible College,8695 W Marigold St,Boise,-116.291321,43.658651,91,20173,26,24,500,630,480,540,19,23,12,
Boise State University,Boise State University,1910 University Dr,Boise,-116.203301,43.604284,46,,10789,8712,520,620,510,600,21,26,17,
Bold Beauty Academy,Bold Beauty Academy,928 Broadwater Ave  Suite C,Billings,-108.540146,45.776969,51,5419,,,,,,,,,12,
Bolivar Technical College,Bolivar Technical College,1135 North Oakland Avenue,Bolivar,-93.421572,37.623766,98,24639,27,9,,,,,,,8,
Bon Secours Memorial College of Nursing,Bon Secours Memorial College of Nursing,8550 Magellan Parkway Suite 1100,Richmond,-77.433569,37.646698,47,,,,,,,,,,10,
Bon Secours St Mary's Hospital School of Medical Imaging,Bon Secours St Mary's Hospital School of Medical Imaging,8550 Magellan Pkwy Ste 700,Richmond,-77.433201,37.646870,31,,,,,,,,,,6,
Bonnie Joseph Academy of Cosmetology & Barbering,Bonnie Joseph Academy of Cosmetology & Barbering,164 South Main Street,Heber City,-111.413846,40.505437,60,14341,,,,,,,,,1,
Boricua College,Boricua College,3755 Broadway,New York,-73.945800,40.833434,100,17082,,,,,,,,,20,
Borner's Barber College,Borner's Barber College,8913 S Western Ave,Los Angeles,-118.309291,33.955880,72,20410,,,,,,,,,10,
Bos-Man's Barber College,Bos-Man's Barber College,2724 W. 70th Street,Shreveport,-93.782849,32.442955,99,17738,,,,,,,,,12,
Bossier Parish Community College,Bossier Parish Community College,6220 East Texas,Bossier City,-93.646881,32.539551,70,,,,,,,,,,25,
Boston Architectural College,Boston Architectural College,320 Newbury Street,Boston,-71.085786,42.348467,48,31926,,,,,,,,,3,
Boston Baptist College,Boston Baptist College,950 Metropolitan Ave,Boston,-71.110300,42.254037,73,17257,22,17,430,530,455,535,15,24,7,
Boston College,Boston College,140 Commonwealth Avenue,Chestnut Hill,-71.169242,42.336213,45,26567,31084,8669,650,720,670,770,31,34,13,
Boston Graduate School of Psychoanalysis Inc,Boston Graduate School of Psychoanalysis Inc,1581 Beacon Street,Brookline,-71.133151,42.339120,,,,,,,,,,,,
Boston University,Boston University,One Silber Way,Boston,-71.107942,42.351118,48,29154,64481,14247,650,720,680,780,30,33,10,
Bowdoin College,Bowdoin College,255 Maine Street,Brunswick,-69.963942,43.907134,50,24831,9081,932,,,,,,,9,
Bowie State University,Bowie State University,14000 Jericho Park Rd,Bowie,-76.759721,39.018185,64,,10601,4029,,,,,,,16,
Bowling Green State University-Firelands,Bowling Green State University-Firelands,One University Drive,Huron,-82.594156,41.397521,37,,,,,,,,,,21,
Bowling Green State University-Main Campus,Bowling Green State University-Main Campus,220 McFall Ctr,Bowling Green,-83.640896,41.375513,71,,17034,12311,440,550,440,550,19,24,17,
Bradford School,Bradford School,125 West Station Square Drive  Suite 129,Pittsburgh,-80.004806,40.433485,,,,,,,,,,,,
Bradford School,Bradford School,2469 Stelzer Road,Columbus,-82.911808,40.023538,74,16900,,,,,,,,,15,
Bradley University,Bradley University,1501 W Bradley Ave,Peoria,-89.616786,40.696896,94,26084,11209,7489,550,640,540,650,23,28,12,
Brand College,Brand College,529 Hahn Ave Ste 101,Glendale,-118.265551,34.157990,0,,,,,,,,,,10,
Brandeis University,Brandeis University,415 South St,Waltham,-71.260155,42.365727,59,39735,11798,3675,630,720,650,780,29,33,10,
Brandman University,Brandman University,16355 Laguna Canyon Road,Irvine,-117.769012,33.656401,51,27446,96,76,,,,,,,17,
Branford Academy of Hair and Cosmetology,Branford Academy of Hair and Cosmetology,251 West Main St,Branford,-72.853700,41.277187,100,12285,,,,,,,,,7,
Branford Hall Career Institute-Albany Campus,Branford Hall Career Institute-Albany Campus,155 Washington Ave,Albany,-73.761767,42.656424,85,28836,,,,,,,,,14,
Branford Hall Career Institute-Amityville,Branford Hall Career Institute-Amityville,1100 North Broadway,Amityville,-73.427979,40.704206,77,25144,,,,,,,,,35,
Branford Hall Career Institute-Bohemia Campus,Branford Hall Career Institute-Bohemia Campus,565 Johnson Avenue,Bohemia,-73.093869,40.777825,73,20392,,,,,,,,,11,
Branford Hall Career Institute-Branford Campus,Branford Hall Career Institute-Branford Campus,One Summit Place,Branford,-72.848201,41.278557,67,15867,,,,,,,,,16,
Branford Hall Career Institute-Jersey City,Branford Hall Career Institute-Jersey City,40 Journal Square  1st Floor,Jersey City,-74.064695,40.731229,77,18842,,,,,,,,,24,
Branford Hall Career Institute-North Brunswick,Branford Hall Career Institute-North Brunswick,651 US Route 1  South 1st Floor,North Brunswick,-74.444265,40.467138,61,23925,,,,,,,,,,
Branford Hall Career Institute-Parsippany,Branford Hall Career Institute-Parsippany,959 Route 46 East,Parsippany,-74.381367,40.861433,58,19480,,,,,,,,,11,
Branford Hall Career Institute-Southington Campus,Branford Hall Career Institute-Southington Campus,35 N Main St,Southington,-72.877922,41.602304,71,17084,,,,,,,,,16,
Branford Hall Career Institute-Springfield Campus,Branford Hall Career Institute-Springfield Campus,189 Brookdale Drive,Springfield,-72.526559,42.146719,87,18877,,,,,,,,,11,
Brazosport College,Brazosport College,500 College Dr,Lake Jackson,-95.409340,29.048604,34,,,,,,,,,,13,
Brenau University,Brenau University,500 Washington Street SE,Gainesville,-83.821513,34.303117,82,22011,2674,1521,470,580,440,550,17,23,10,
Brescia University,Brescia University,717 Frederica St,Owensboro,-87.111639,37.769041,59,13413,3865,1490,490,610,510,610,19,25,13,
Brevard College,Brevard College,One Brevard College Drive,Brevard,-82.729494,35.236763,97,23102,2619,1207,,,,,,,11,
Brewster Technical College,Brewster Technical College,2222 N Tampa St,Tampa,-82.461722,27.963730,25,,,,,,,,,,6,
Brewton-Parker College,Brewton-Parker College,201 David-Eliza Fountain Circle,Mount Vernon,-82.586136,32.185718,97,19681,342,331,450,535,410,520,15,19,15,
Briar Cliff University,Briar Cliff University,3303 Rebecca Street,Sioux City,-96.428444,42.526443,88,18442,,,,,,,,,11,
Briarcliffe College,Briarcliffe College,640 Johnson Avenue,Bohemia,-73.097784,40.781153,,,,,,,,,,,,
Bridgerland Technical College,Bridgerland Technical College,1301 North 600 West,Logan,-111.850619,41.756188,17,,,,,,,,,,16,
BridgeValley Community & Technical College,BridgeValley Community & Technical College,2001 Union Carbide Dr,South  Charleston,-81.698300,38.353846,53,,,,,,,,,,12,
Bridgewater College,Bridgewater College,402 E College St,Bridgewater,-78.969007,38.378484,99,20395,6360,4203,490,600,490,570,18,26,14,
Bridgewater State University,Bridgewater State University,131 Summer Street,Bridgewater,-70.974553,41.987490,55,,6806,6135,500,580,490,570,19,25,19,
Brigham Young University-Hawaii,Brigham Young University-Hawaii,55-220 Kulanui Street,Laie,-157.926586,21.642074,76,12871,2970,1330,553,640,530,610,21,26,17,
Brigham Young University-Idaho,Brigham Young University-Idaho,525 S Center,Rexburg,-111.782431,43.818408,33,7555,9998,9715,510,620,500,590,20,26,22,
Brigham Young University-Provo,Brigham Young University-Provo,Main Campus,Provo,-111.649281,40.250851,73,13120,11205,7224,600,710,590,710,26,31,20,
Brighton Center's Center for Employment Training,Brighton Center's Center for Employment Training,601 Washington Ave.  Suite 140,Newport,-84.490096,39.092904,55,10813,,,,,,,,,16,
Brighton Institute of Cosmetology,Brighton Institute of Cosmetology,10543 Citation Drive,Brighton,-83.743486,42.521018,9,10716,,,,,,,,,6,
Brightwood Career Institute-Broomall,Brightwood Career Institute-Broomall,1991 Sproul Road  Suite 42,Broomall,-75.355490,39.962112,,,,,,,,,,,,
Brightwood Career Institute-Harrisburg,Brightwood Career Institute-Harrisburg,5650 Derry St,Harrisburg,-76.791557,40.262537,,,,,,,,,,,,
Brightwood Career Institute-Philadelphia,Brightwood Career Institute-Philadelphia,3010 Market Street,Philadelphia,-75.183874,39.954577,,,,,,,,,,,,
Brightwood Career Institute-Philadelphia Mills,Brightwood Career Institute-Philadelphia Mills,177 Franklin Mills Blvd.,Philadelphia,-74.966689,40.089567,,,,,,,,,,,,
Brightwood Career Institute-Pittsburgh,Brightwood Career Institute-Pittsburgh,933 Penn Avenue,Pittsburgh,-79.996971,40.444240,,,,,,,,,,,,
Brightwood College-Arlington,Brightwood College-Arlington,2241 South Watson Road  Suite 181,Arlington,-97.060591,32.708810,,,,,,,,,,,,
Brightwood College-Bakersfield,Brightwood College-Bakersfield,1914 Wible Road,Bakersfield,-119.037940,35.337339,,,,,,,,,,,,
Brightwood College-Baltimore,Brightwood College-Baltimore,1520 South Caton Ave,Baltimore,-76.665611,39.260690,,,,,,,,,,,,
Brightwood College-Beaumont,Brightwood College-Beaumont,6115 Eastex Freeway,Beaumont,-94.164956,30.124212,,,,,,,,,,,,
Brightwood College-Beltsville,Brightwood College-Beltsville,4600 Powder Mill Rd,Beltsville,-76.913368,39.045646,,,,,,,,,,,,
Brightwood College-Brownsville,Brightwood College-Brownsville,1900 North Expressway,Brownsville,-97.502310,25.944012,,,,,,,,,,,,
Brightwood College-Charlotte,Brightwood College-Charlotte,6070 East Independence Blvd,Charlotte,-80.752731,35.177020,,,,,,,,,,,,
Brightwood College-Chula Vista,Brightwood College-Chula Vista,555 Broadway  Suite 144,Chula Vista,-117.087096,32.629556,,,,,,,,,,,,
Brightwood College-Corpus Christi,Brightwood College-Corpus Christi,1620 S. Padre Island Drive,Corpus Christi,-97.438983,27.742735,,,,,,,,,,,,
Brightwood College-Dallas,Brightwood College-Dallas,12005 Ford Road  Suite 100,Dallas,-96.892036,32.912086,,,,,,,,,,,,
Brightwood College-Dayton,Brightwood College-Dayton,2800 East River Road,Dayton,-84.225279,39.714113,,,,,,,,,,,,
Brightwood College-El Paso,Brightwood College-El Paso,8360 Burnham Road  Suite 100,El Paso,-106.327868,31.737748,,,,,,,,,,,,
Brightwood College-Fort Worth,Brightwood College-Fort Worth,2001 Beach Street  Suite 201,Fort Worth,-97.288869,32.748285,,,,,,,,,,,,
Brightwood College-Fresno,Brightwood College-Fresno,44 Shaw Avenue  Rodeo Plaza Shopping Center,Clovis,-119.708287,36.807193,,,,,,,,,,,,
Brightwood College-Friendswood,Brightwood College-Friendswood,3208 Farm to Market 528,Friendswood,-95.162819,29.523396,,,,,,,,,,,,
Brightwood College-Hammond,Brightwood College-Hammond,7833 Indianapolis Blvd,Hammond,-87.476889,41.571839,,,,,,,,,,,,
Brightwood College-Houston,Brightwood College-Houston,711 East Airtex Drive,Houston,-95.412493,29.983605,,,,,,,,,,,,
Brightwood College-Indianapolis,Brightwood College-Indianapolis,4200 S East Street  Suite 7,Indianapolis,-86.150527,39.702952,,,,,,,,,,,,
Brightwood College-Laredo,Brightwood College-Laredo,6410 McPherson Road,Laredo,-99.474543,27.561183,,,,,,,,,,,,
Brightwood College-Las Vegas,Brightwood College-Las Vegas,3535 W. Sahara Avenue,Las Vegas,-115.188587,36.143306,,,,,,,,,,,,
Brightwood College-Los Angeles-Van Nuys,Brightwood College-Los Angeles-Van Nuys,15400 Sherman Way  Suite 101,Van Nuys,-118.468568,34.200812,,,,,,,,,,,,
Brightwood College-McAllen,Brightwood College-McAllen,1500 South Jackson Road,McAllen,-98.207067,26.186109,,,,,,,,,,,,
Brightwood College-Modesto,Brightwood College-Modesto,5172 Kiernan Court,Salida,-121.087326,37.713665,,,,,,,,,,,,
Brightwood College-Nashville,Brightwood College-Nashville,750 Envious Lane,Nashville,-86.702148,36.142635,,,,,,,,,,,,
Brightwood College-Palm Springs,Brightwood College-Palm Springs,2475 E Tahquitz Canyon Way,Palm Springs,-116.519222,33.821901,,,,,,,,,,,,
